id,smiles
cpd00019,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
cpd02978,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2
cpd02851,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N
cpd02140,Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00024,O=C([O-])CCC(=O)C(=O)[O-]
cpd00117,C[C@@H]([NH3+])C(=O)[O-]
cpd00035,C[C@H]([NH3+])C(=O)[O-]
cpd00035,C[C@H]([NH3+])C(=O)[O-]
cpd00085,[NH3+]CCC(=O)[O-]
cpd00668,CC(=O)C(C)(O)C(=O)[O-]
cpd00742,NC(=O)NC(=O)[O-]
cpd01092,NC(=O)NC1NC(=O)NC1=O
cpd00017,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00017,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00837,C[S+](CCC[NH3+])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00018,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd15396,
cpd15397,CC(=O)NC1=COC(CO)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC([NH3+])C(=O)[O-])C(=O)[O-]
cpd15398,*C([NH3+])CCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)C2COC(O2)[C@@H]1NC(C)=O)C(=O)[O-])C(=O)N[C@H](C)C(=O)[O-]
cpd15399,
cpd15400,CC(=O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@@H](CCCC([NH3+])C(=O)[O-])C(=O)[O-]
cpd15401,CC(=O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@@H](CCCC([NH3+])C(=O)[O-])C(=O)NC(C)C(=O)[O-]
cpd00093,Nc1ccccc1C(=O)[O-]
cpd12370,*[NH2+][C@@H](CO)C(*)=O
cpd01504,[NH3+]CCC=O
cpd03696,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
cpd03697,O=P([O-])([O-])OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
cpd00051,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
cpd00051,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
cpd02152,[NH2+]=C(NCCC[C@H]([NH3+])C(=O)[O-])NC(CC(=O)[O-])C(=O)[O-]
cpd00132,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00132,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00041,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
cpd00041,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
cpd00346,[NH3+][C@@H](CC=O)C(=O)[O-]
cpd00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00650,C/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00447,C[N+](C)(C)CC=O
cpd03517,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)[C@@H](O)[C@H]1O
cpd00120,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
cpd00104,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
cpd00104,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
cpd12848,*NC(=O)[C@H](CCCCNC(=O)CCCC[C@@H]1SCC2NC(=O)NC21)NC(*)=O
cpd11465,*SC(=O)/C=C/C
cpd11464,
cpd00063,[Ca+2]
cpd00063,[Ca+2]
cpd01720,NC(=O)NCCC(=O)[O-]
cpd00343,NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
cpd03422,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-3]753)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
