Reaction_ID,data_type,kcat,MW,kcat_MW
rxn08933_c0_reverse,DLkcat,16.7134,63856.5077,471.1206592
rxn09109_c0_reverse,DLkcat,16.5407,19647.4776,1515.373149
rxn00612_c0_reverse,DLkcat,16.3557,36185.1273,1627.202235
rxn00338_c0,DLkcat,16.3516,51853.2274,567.6190562
rxn01101_c0_num1,DLkcat,16.2721,40980.7893,714.7197626
rxn01366_c0,DLkcat,16.2636,26537.9413,1103.117972
rxn05340_c0,DLkcat,16.2206,25525.2873,571.9246106
rxn05560_c0_num4,DLkcat,16.162,71245.7029,204.1638921
rxn08792_c0,DLkcat,16.0913,34791.3952,209.5904904
rxn08088_c0,DLkcat,15.7879,27474.6194,1034.344447
rxn03482_c0,DLkcat,15.7693,53899.5769,266.4096916
rxn05655_c0_reverse_num2,DLkcat,15.7637,62216.1267,912.1319987
rxn05329_c0_reverse,DLkcat,15.6755,16026.5332,3521.148292
rxn10199_c0_reverse,DLkcat,15.6755,73917.609,381.720951
rxn02679_c0_reverse,DLkcat,15.5555,41063.8695,1363.724381
rxn00693_c0_reverse_num2,DLkcat,15.5376,24049.6085,581.458114
rxn12641_c0_num2,DLkcat,15.5133,38522.6475,1449.74148
rxn00745_c0_reverse_num1,DLkcat,15.3345,8891.1318,3104.452911
rxn00161_c0,DLkcat,15.3083,41768.595,659.7047375
rxn01018_c0_num1,DLkcat,15.2918,39881.3353,345.0892478
rxn08669_c0,DLkcat,15.2237,27247.657,2011.377345
rxn08971_c0,DLkcat,15.2176,60630.1003,903.5670357
rxn08942_c0,DLkcat,15.1194,87848.4899,219.5115188
rxn08310_c0,DLkcat,14.8666,31518.5888,1698.037953
rxn00546_c0,DLkcat,14.8498,44577.5523,599.6210788
rxn00726_c0,DLkcat,14.8117,20963.0695,357.8688824
rxn00138_c0,DLkcat,14.8017,69573.6653,765.8949657
rxn05348_c0,DLkcat,14.4164,43139.3518,1203.055629
rxn00856_c0_reverse,DLkcat,14.3683,50230.2409,345.448288
rxn05326_c0_reverse,DLkcat,14.3632,41063.8695,1259.197456
rxn01669_c0_reverse,DLkcat,14.2866,46938.177,182.622346
rxn03164_c0,DLkcat,14.2484,49018.2541,523.2156973
rxn01343_c0,DLkcat,14.2009,34790.5059,367.3648793
rxn21861_c0,DLkcat,14.0936,25525.2873,496.928393
rxn01851_c0,DLkcat,13.9537,54001.7695,309.1697434
rxn23042_c0,DLkcat,13.9537,23800.2939,527.6544085
rxn00499_c0,DLkcat,13.902,34306.0623,181.0746799
rxn00527_c0_reverse_num1,DLkcat,13.8826,38081.1811,422.1974929
rxn08043_c0_num2,DLkcat,13.8517,18856.5087,2644.504388
rxn08941_c0,DLkcat,13.8177,87848.4899,200.6127434
rxn12633_c0_num1,DLkcat,13.816,26711.8884,1862.002388
rxn03933_c0_reverse,DLkcat,13.8087,39587.5421,627.8657042
rxn05610_c0_reverse_num3,DLkcat,13.7054,31143.5672,792.1289119
rxn00493_c0_num4,DLkcat,13.619,44232.1326,554.2170038
rxn08936_c0_reverse,DLkcat,13.5228,63856.5077,381.1833888
rxn05734_c0_reverse,DLkcat,13.5228,54001.7695,299.6223658
rxn06077_c0_reverse,DLkcat,13.5228,36177.1413,1345.658564
rxn10264_c0,DLkcat,13.4761,19647.4776,1234.610391
rxn00735_c0_reverse,DLkcat,13.4481,38564.9665,627.683159
rxn08016_c0_num1,DLkcat,13.4221,22151.7682,2181.295848
rxn00101_c0_num2,DLkcat,13.3223,21872.7948,266.1176389
