metname,inchikey
fe3,VTLYFUHAOXGGBS-UHFFFAOYSA-N
feenter,NGILTSZTOFYVBF-UVJOBNTFSA-H
fgam,VDXLUNDMVKSKHO-ZRTZXPPTSA-L
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K
fol,OVBPIULPVIDEAO-LBPRGKRZSA-L
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L
frdp,VWFJDQUYCIWHTN-YFVJMOTDSA-K
fru,RFSUNEUAIZKAJO-VRPWFDPXSA-N
fuc__L,PNNNRSAQSRJVSB-KCDKBNATSA-N
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
g1p_B,HXXFSFRBOHSIMQ-DVKNGEFBSA-L
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
g3pc,SUHOQUVVVLNYQR-MRVPVSSYSA-N
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N
g3pg,LLCSXHMJULHSJN-UHFFFAOYSA-M
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
g6p_B,NBSCHQHZLSJFNQ-VFUOTHLCSA-L
gal,WQZGKKKJIJFFOK-PHYPRBDBSA-N
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L
galt,FBPFZTCFMRRESA-GUCUJZIJSA-N
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
gam1p,YMJBYRVFGYXULK-QZABAPFNSA-M
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N
gdp,QGWNDRXFNXRZMB-UUOKFMHZSA-K
gdpddman,PNHLMHWWFOPQLK-BKUUWRAGSA-L
gdpfuc,LQEBEXMHBLQMDB-JGQUBWHWSA-L
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
gdptp,KCPMACXZAITQAX-UUOKFMHZSA-H
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
glutcoa,SYKWLIJQEHRDNH-CKRMAKSASA-I
glutrna,NA
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
glyc__R,RBNPOMFGQQGHHO-UWTATZPHSA-M
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M
glycogen,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
grdp,GVVPGTZRZFNKDS-JXMROGBWSA-K
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
gtp,XKMLYUALXHKNFT-UUOKFMHZSA-J
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
h2co3,NA
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K
h2o,XLYOFNOQVPJJNP-UHFFFAOYSA-N
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
h2s,RWSOTUBLDIXVET-UHFFFAOYSA-M
ham,AVXURJPOCDRRFD-UHFFFAOYSA-N
hcit,NA
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
hdcea,NA
hdd2coa,JUPAQFRKPHPXLD-MSHHSVQMSA-J
hdeACP,NA
hepdp,LSJLEXWXRKTZAJ-YUIIPXGZSA-K
hexACP,NA
hg2,BQPIGGFYSBELGY-UHFFFAOYSA-N
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
histd,ZQISRDCJNBUVMM-YFKPBYRVSA-O
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
hmgth,PIUSLWSYOYFRFR-BQBZGAKWSA-M
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
hpglu,RXWVHRYZTWZATH-XSLAGTTESA-J
hqn,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
hxcoa,NA
iasp,NMUOATVLLQEYHI-UHFFFAOYSA-M
ichor,NTGWPRCCOQCMGE-YUMQZZPRSA-L
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
im4ac,PRJKNHOMHKJCEJ-UHFFFAOYSA-M
im4act,MQSRGWNVEZRLDK-UHFFFAOYSA-N
imacp,YCFFMSOLUMRAMD-UHFFFAOYSA-L
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
ins,UGQMRVRMYYASKQ-KQYNXXCUSA-N
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K
isomal,DLRVVLDZNNYCBX-RTPHMHGBSA-N
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
k,NPYPAHLBTDXSSS-UHFFFAOYSA-N
L_alagly,CXISPYVYMQWFLE-VKHMYHEASA-N
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
LalaDgluMdap,NA
LalaDgluMdapDala,BAPAFFOXTCMVCC-UHFFFAOYSA-M
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
malACP,NA
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
malt,GUBGYTABKSRVRQ-PICCSMPSSA-N
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
malthp,ZHZITDGOAFCURV-VVTKTIMZSA-N
malthx,OCIBBXPLUVYKCH-QXVNYKTNSA-N
maltpt,FTNIPWXXIGNQQF-DWTFCAFKSA-N
malttr,FYGDTMLNYKFZSV-PXXRMHSHSA-N
maltttr,LUEWUZLMQUOBSB-ZLBHSGTGSA-N
man,WQZGKKKJIJFFOK-QTVWNMPRSA-N
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
met__D,FFEARJCKVFRZRR-SCSAIBSYSA-N
met__L,FFEARJCKVFRZRR-BYPYZUCNSA-N
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
metox__R,NA
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
mnl,FBPFZTCFMRRESA-KVTDHHQDSA-N
mnt,FZWBNHMXJMCXLU-YRBKNLIBSA-N
mobd,MEFBJEMVZONFCJ-UHFFFAOYSA-N
mql8,OIEZRVBFVPGODT-WQWYCSGDSA-N
mqn8,LXKDFTDVRVLXFY-WQWYCSGDSA-N
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
murein4p4p,VTZDBMVDVOTCFD-UHFFFAOYSA-G
murein4px4p,NA
murein4px4p4p,NPJMJVATSCHTAI-UHFFFAOYSA-F
murein4px4px4p,NA
